Question,Answer,Category,keywords,lastupdated
Where can I see YABATECH news?,"YABATECH news and announcements are at yabatech.edu.ng/yabatechallnews.php. Follow the page regularly for admission news, academic updates, and institutional announcements.",General,"news, announcements, portal, updates, yabatechallnews",2026-05-27
Does YABATECH have a sports team?,Yes. YABATECH has active sports teams and has won the Nigeria Polytechnic Games Association (NIPOGA) competition 5 times. The Dr Philip Adegbile Sport Complex supports training and competitions.,General,"sports team, NIPOGA, competition, football, games",2026-05-27
What professional bodies are relevant to YABATECH engineering graduates?,YABATECH engineering graduates can be registered with COREN (Council for the Regulation of Engineering in Nigeria) after completing HND. Departmental associations also connect students to professional bodies.,Courses,"professional bodies, COREN, engineering, registration, professional",2026-05-27
How do I get a YABATECH student email?,Student email is available for registered YABATECH students. Access it through the Students section at yabatech.edu.ng or contact the CITM unit on campus for setup instructions.,Registration,"student email, how to get, CITM, email, portal",2026-05-27
What is the YABATECH CITM?,"CITM stands for Centre for Information Technology and Management. It is a service unit at YABATECH responsible for ICT infrastructure, portal management, student email, and IT support.",General,"CITM, ICT, information technology, management, centre",2026-05-27
Does YABATECH have a CCS (Centre for Continuing Studies)?,Yes. YABATECH has a CCS (Centre for Continuing Studies) offering Weekend and Weekday/Evening Programmes for working adults. Access information through the main portal at yabatech.edu.ng.,Courses,"CCS, Continuing Studies, weekend, evening, working adults",2026-05-27
What is the YABATECH Physical Planning unit?,"The Physical Planning unit manages YABATECH's infrastructure development, new buildings, and campus maintenance. It oversees all construction and facility upgrade projects on campus.",General,"Physical Planning, infrastructure, building, campus, unit",2026-05-27
Does YABATECH have an Alumni page?,Yes. YABATECH has an alumni page at yabatech.edu.ng/graduates where former students can connect and get information on the alumni association.,General,"alumni, graduates, association, page, former students",2026-05-27
How do I report a problem on YABATECH campus?,Report issues to the relevant unit: academic matters to your HOD or Dean; financial issues to Bursary; facility issues to Works and Services unit; welfare matters to Student Affairs; or call +234-7037431055.,General,"report, problem, complaint, contact, who to call",2026-05-27
What is the YABATECH Works and Services unit?,The Works and Services unit manages maintenance and repairs of YABATECH facilities and infrastructure on campus. Report facility issues to this unit through units.yabatech.edu.ng.,General,"Works and Services, maintenance, repairs, facilities, unit",2026-05-27
What is the YABATECH Transport unit?,YABATECH has a Transport unit that manages official college vehicles for institutional purposes. Contact the unit at units.yabatech.edu.ng for transport-related enquiries.,General,"transport, unit, vehicles, movement, campus",2026-05-27
What are the school hours at YABATECH?,Full-time lectures run 8:00 AM – 6:00 PM on weekdays. Evening/part-time classes run from 5:00 PM. Offices are generally open 8:00 AM – 4:00 PM on weekdays.,General,"school hours, opening time, office hours, weekdays, schedule",2026-05-27
Does YABATECH allow cultism?,"No. YABATECH strictly prohibits cultism, secret cults, and any associated vices. Membership of secret cults is a serious offence leading to expulsion. The school promotes good character and sound morals.",General,"cultism, secret cults, prohibited, expulsion, rules",2026-05-27
What is the YABATECH Students' Union election?,YABATECH holds periodic Students' Union elections to elect student representatives into the Students' Union Government (SUG). Elections are announced on campus notice boards and the portal.,General,"Students Union election, SUG, election, 2026, student government",2026-05-27
What do I do after completing ND at YABATECH?,"After ND, you can: 1) Apply for HND admission at YABATECH or another polytechnic. 2) Work in industry. 3) Apply for direct entry into degree programmes at universities. You must also complete a 1-year industrial attachment before HND admission.",General,"after ND, next step, HND, work, degree, industrial",2026-05-27
Can I study for a degree at YABATECH?,"Yes. YABATECH offers B.Sc.(Ed) degree programmes through the School of Technical Education in affiliation with UNN (University of Nigeria, Nsukka), with 10 NUC-accredited programmes.",Courses,"degree, BSc, study, UNN, Technical Education, programmes",2026-05-27
What B.Sc. courses does YABATECH offer?,"YABATECH's B.Sc.(Ed) programmes (via School of Technical Education & UNN) include: Art Education, Science Education (Biology, Chemistry, Integrated Science, Maths, Physics), and Vocational Education (Business, Computer, Industrial Technical, Home Economics).",Courses,"BSc, B.Sc Ed, degree, UNN, Technical Education, list",2026-05-27
What is the minimum CGPA for NYSC at YABATECH?,"A minimum CGPA of 1.0 (Pass) is generally required. Your certificate class (Upper Credit, Lower Credit, Pass) depends on your final CGPA. Confirm with the Examinations Unit.",General,"NYSC, CGPA, minimum, mobilisation, certificate class",2026-05-27
Does YABATECH offer scholarships?,"YABATECH students can benefit from federal/state government scholarships, PTDF bursaries, and private sector scholarships. Contact Student Affairs for information on available scholarships.",Fees,"scholarship, bursary, PTDF, financial aid, funding",2026-05-27
What is the YABATECH convocation ceremony?,"YABATECH holds periodic convocation ceremonies to award certificates and degrees to graduating students. Dates are announced on yabatech.edu.ng. For B.Sc.(Ed) degrees, convocation is held at UNN.",General,"convocation, ceremony, graduation, award, date",2026-05-27
What is a supplementary exam at YABATECH?,A supplementary exam is an additional examination for eligible students who narrowly failed a course. Apply through your department to the Examinations Unit with documentation within the stipulated time.,Exams,"supplementary, resit, failed, additional, apply",2026-05-27
How do I submit my final year project at YABATECH?,"Complete your project under a supervisor, defend it before a panel, and submit bound copies to your department. Follow your department's specific guidelines on number of copies and format.",General,"final year project, submit, supervisor, defend, bound",2026-05-27
What is the YABATECH Audit unit?,The Audit unit ensures financial accountability and compliance across all YABATECH departments. It audits accounts and financial transactions to maintain institutional integrity.,General,"Audit, financial, accountability, unit, compliance",2026-05-27
What is the YABATECH Academic Planning Unit?,"The Academic Planning Unit handles programme planning, curriculum development, and statistical reporting for YABATECH. It also manages accreditation matters and academic policy development.",General,"Academic Planning, curriculum, accreditation, unit, programme",2026-05-27
What is the YABATECH Internal Quality Assurance unit?,The Internal Quality Assurance unit monitors and ensures the quality of academic service delivery across all schools and departments in YABATECH.,General,"Quality Assurance, IQA, quality, standards, monitoring, unit",2026-05-27
How do I print my course registration form at YABATECH?,"After registering courses on the portal at portal.yabatech.edu.ng, download and print your course form, then take it to your department for signing by your Course Adviser before submission.",Registration,"print, course form, download, portal, Course Adviser",2026-05-27
What is a course adviser at YABATECH?,"A course adviser is a lecturer assigned to a class to guide students on course selection, registration, and academic progress. They sign and approve your course registration forms each semester.",Registration,"course adviser, what is, role, guide, sign, lecturer",2026-05-27
How many courses can I register per semester at YABATECH?,Typically 8-12 courses per semester as prescribed by your department. Your course adviser confirms the minimum and maximum credit load for your level.,Registration,"how many courses, semester, register, credit load, maximum",2026-05-27
What is a credit unit at YABATECH?,A credit unit represents the weight of a course — usually equal to 1 hour of lecture per week. Your total credit load per semester is the sum of credit units for all registered courses.,Courses,"credit unit, weight, course, hours, load",2026-05-27
How do I apply for late registration at YABATECH?,Submit a formal letter to your HOD explaining why you missed the deadline. Pay any applicable late fee at the Bursary. Late registration is subject to approval.,Registration,"late registration, missed deadline, apply, HOD, penalty",2026-05-27
How do I change my course at YABATECH?,Submit a formal application to the Registry or Admissions Office stating your reason. Course changes are subject to available space and meeting entry requirements for the new course.,Admissions,"change course, programme, switch, Registry, apply",2026-05-27
How do I get a letter of introduction from YABATECH?,Apply at your department or the Student Affairs division with a formal application letter stating the purpose. Allow a few days for processing.,General,"letter of introduction, apply, Student Affairs, obtain, formal",2026-05-27
How do I get a statement of result from YABATECH?,"Request a statement of result from the Examinations Unit at the Registry. Submit a formal request with your student details, pay any fee at Bursary, and collect after processing.",General,"statement of result, Examinations Unit, Registry, collect, obtain",2026-05-27
What is the YABATECH student clearance form?,"The clearance form is collected from the Registry at the end of your programme. It must be signed by your department, library, Bursary, and other units confirming no outstanding obligations.",General,"clearance form, Registry, sign, department, library",2026-05-27
Does YABATECH have a dress code?,Yes. YABATECH expects decent and appropriate dressing. Engineering and science students often require lab coats or overalls. Indecent dressing may lead to denial of entry to lecture halls.,General,"dress code, uniform, decent, appropriate, clothing",2026-05-27
What is the YABATECH Yabatech Consult?,"Yabatech Consult (YCT Consult) is YABATECH's industrial and consultancy services arm that provides professional services to industry and the public, leveraging the college's expertise.",General,"Yabatech Consult, YCT Consult, consultancy, industry, services",2026-05-27
Does YABATECH have evening programmes for HND?,"Part-time evening programmes are available for some ND courses. For HND, check the CCS (Centre for Continuing Studies) section at yabatech.edu.ng for weekend and evening HND options.",Courses,"evening, HND, part-time, CCS, weekend, programme",2026-05-27
What is the YABATECH CODFEL registration link?,"CODFEL registration is at portal.yabatech.edu.ng/codfelstart/. For applications, go to portal.yabatech.edu.ng/odfelonlineapplication/ or visit codfel.yabatech.edu.ng.",Registration,"CODFEL, registration, link, online, portal, flexible",2026-05-27
What is the YABATECH eJournal?,YABATECH's academic eJournal publishes research by staff and students. It is accessible at yabatech.edu.ng/ejournal.php.,General,"eJournal, research, journal, academic, publication",2026-05-27
What is the YABATECH Anti-Corruption unit email?,"All YABATECH units can be reached through the units portal at units.yabatech.edu.ng. For the Anti-Corruption and Transparency Unit, navigate to their page on the units portal.",Contacts,"Anti-Corruption, ACTU, email, contact, units portal",2026-05-27
What is the YABATECH Governing Council?,"The Governing Council is the highest policy-making body of YABATECH, overseeing institutional governance and strategy. Information is at yabatech.edu.ng/gov.php.",General,"Governing Council, policy, governance, management, council",2026-05-27
Who is the YABATECH Bursar?,"The Bursar is YABATECH's chief financial officer, responsible for managing the college's finances. Details are available at yabatech.edu.ng under Administration.",General,"Bursar, finance, chief financial officer, who is, management",2026-05-27
Who is the YABATECH Polytechnic Librarian?,The Polytechnic Librarian oversees the Yabatech Library and all library services. Details are on yabatech.edu.ng under Administration.,General,"Polytechnic Librarian, library, who is, head, librarian",2026-05-27
What is the YABATECH Deputy Rector Academics?,"The Deputy Rector (Academics) oversees all academic matters at YABATECH, including curriculum, examinations, and academic policy. Details at yabatech.edu.ng under Administration.",General,"Deputy Rector, Academics, administration, management, who is",2026-05-27
What is the YABATECH Deputy Rector Administration?,"The Deputy Rector (Administration) oversees administrative operations, staff matters, and institutional management at YABATECH. Details at yabatech.edu.ng under Administration.",General,"Deputy Rector, Administration, management, who is, staff",2026-05-27
How do I renew my YABATECH student ID?,Visit the CITM or Student Affairs division with your old ID and passport photographs. Pay any renewal fee at the Bursary and submit your receipt for a new card.,Registration,"renew, student ID, CITM, Student Affairs, renewal",2026-05-27
What do I do if I lose my YABATECH student ID?,"Report it to CITM or Student Affairs immediately. Apply for a replacement, submit passport photographs, and pay the replacement fee at the Bursary.",Registration,"lost ID, replace, CITM, Student Affairs, replacement fee",2026-05-27
Does YABATECH have a canteen?,Yes. YABATECH has canteen and food vendor areas across the main campus. Ask security or at the Students' Union building for directions to the nearest canteen.,Facilities,"canteen, food, eat, cafeteria, vendors, meals",2026-05-27
What is the YABATECH Visitor?,"The Visitor of YABATECH is the highest authority of the institution, typically the Minister of Education or a representative of the Federal Government.",General,"Visitor, highest authority, federal government, minister, management",2026-05-27
Does YABATECH have a history page?,"Yes. The college history is at yabatech.edu.ng/history.php. It covers YABATECH's founding in 1947, its growth, and major milestones.",General,"history page, website, history.php, past, founding",2026-05-27
What is the YABATECH College Anthem?,The YABATECH college anthem is available at yabatech.edu.ng/anthem.php.,General,"college anthem, song, anthem, hymn, yabatech.edu.ng",2026-05-27
What is the YABATECH Vision and Mission?,"YABATECH's vision and mission are at yabatech.edu.ng/vision.php. The college's mission is to provide quality technical, applied science, management, and creative education.",General,"vision, mission, statement, goals, vision.php",2026-05-27
Does YABATECH have a knowledgebase?,Yes. YABATECH has a knowledgebase at yabatech.edu.ng/knowledgebase/ where FAQs and institutional information are maintained for students and staff.,General,"knowledgebase, FAQ, questions, help, information",2026-05-27
What is the School of Science formerly called?,"The School of Science was formerly known as the School of Applied Science. It was renamed to School of Science and Mathematics in 1998, and later to School of Science in January 2001.",Departments,"School of Science, formerly, Applied Science, name, history",2026-05-27
What programmes does the School of Technology offer?,"The School of Technology offers 23 programmes (Full-Time and Part-Time) including: Agricultural Technology (ND/HND), Computer Technology (ND/HND), Food Technology, Hospitality Management, Leisure & Tourism, Nutrition & Dietetics, and Polymer & Textile Technology.",Courses,"School of Technology, programmes, 23, list, full-time, part-time",2026-05-27
Is YABATECH the first polytechnic in Nigeria?,"YABATECH is Nigeria's first higher institution (established 1947), making it the oldest. It was also the only college offering Higher Diploma courses in Nigeria until 1979.",General,"first polytechnic, oldest, Nigeria, pioneer, 1947",2026-05-27
When did YABATECH become autonomous?,"YABATECH became fully autonomous in 1969 by virtue of Decree 23, which granted it the mandate to provide full-time and part-time technical, applied science, commerce, and management education.",General,"autonomous, 1969, Decree 23, history, independent",2026-05-27
Was YABATECH ever called Federal Polytechnic?,"Yes. YABATECH was renamed Federal Polytechnic Yaba under Decree 33 of 1979, but reverted to the name Yaba College of Technology in 1980 due to persistent public pressure.",General,"Federal Polytechnic, name change, 1979, 1980, history",2026-05-27
What was YABATECH originally called?,"YABATECH was originally established in 1947 as the successor to Yaba Higher College. It was renamed Yaba College of Technology by Dr. Nnamdi Azikiwe in 1963, briefly became Federal Polytechnic Yaba in 1979, and reverted to YABATECH in 1980.",General,"originally, name, history, Yaba Higher College, 1947",2026-05-27
What is YABATECH's vision?,"YABATECH's vision is to be the first and best polytechnic in Nigeria, providing quality technical and vocational education. See the full vision statement at yabatech.edu.ng/vision.php.",General,"vision, statement, goals, best polytechnic, yabatech.edu.ng",2026-05-27
Does YABATECH have an entrepreneurship course for all students?,Yes. All YABATECH students regardless of department must take compulsory Entrepreneurship courses through the Centre for Entrepreneurship Development (CED).,General,"entrepreneurship, compulsory, all students, CED, business",2026-05-27
Does YABATECH School of Technology award best students?,Yes. The School of Technology recognises and rewards the best students from each department at graduation. The school has also produced the best overall student in the college at both ND and HND levels.,General,"best student, award, School of Technology, recognition, graduation",2026-05-27
How many PhD holders does the School of Technology have?,"The School of Technology has over 21 PhD holders among its academic staff, with 65 Master degree holders and over 130 academic staff in total.",Departments,"PhD, School of Technology, academic staff, lecturers, qualification",2026-05-27
Does YABATECH Engineering School have PhD lecturers?,Yes. The School of Engineering has over 10 PhD holders and over 50 MSc holders among its academic staff.,Departments,"PhD, Engineering, lecturers, academic staff, MSc, qualification",2026-05-27
How many graduates has the School of Technical Education produced?,"From 1997 to date, the School of Technical Education has produced approximately 7,000 graduates across its degree programmes affiliated with the University of Nigeria, Nsukka.",Departments,"graduates, School of Technical Education, 7000, UNN, produced",2026-05-27
What is the School of Environmental Studies assessment system?,"The School of Environmental Studies uses a semester system with 8-12 courses per semester. Assessment combines formal examinations and continuous assessment (assignments, class tests, technical reports), with final-year results moderated by external examiners.",Departments,"assessment, Environmental Studies, continuous assessment, exams, moderated",2026-05-27
Does YABATECH have industrial attachment before HND?,"Yes. Students must complete a compulsory 1-year industrial attachment after their ND and before admission into the HND programme, in addition to the SIWES attachment during ND.",General,"industrial attachment, before HND, 1 year, compulsory, ND",2026-05-27
What professional awards has YABATECH won?,YABATECH has won: NIPOGA (Nigeria Polytechnic Games Association) 5 times; Gold Award for Best Educational Institution in Tourism and Hospitality in the West African sub-region; and was named Best Tourism Tertiary Institution in Southwest Nigeria at the 2025 Southwest International Tourism Expo.,General,"awards, won, achievements, NIPOGA, tourism, gold award",2026-05-27
What is the YABATECH e-Journal link?,YABATECH's academic eJournal is at yabatech.edu.ng/ejournal.php where research publications from YABATECH staff and students are accessible.,General,"eJournal, link, research, publication, academic, journal",2026-05-27
Does YABATECH have a second gate?,Yes. YABATECH has a main gate and a second gate (back gate) on the main campus in Yaba. Security personnel are stationed at all entry points.,Facilities,"second gate, gate, campus, entry, security",2026-05-27
What is YABATECH's relationship with University of Nigeria Nsukka?,"YABATECH is affiliated with the University of Nigeria, Nsukka (UNN) for its B.Sc.(Ed) degree programmes in the School of Technical Education. Degree ceremonies are held at UNN.",General,"UNN, University of Nigeria, Nsukka, affiliation, degree, relationship",2026-05-27
What is YABATECH's relationship with FUTA?,"YABATECH is affiliated with the Federal University of Technology, Akure (FUTA) for Postgraduate Diplomas in Engineering and Urban and Regional Planning.",General,"FUTA, Federal University of Technology, Akure, PGD, affiliation",2026-05-27
What is the YABATECH School of Liberal Studies mandate?,The SLS provides general education support to all students across the college. All YABATECH students are considered students of SLS in that they take courses offered by SLS departments as part of their graduation requirements.,Departments,"Liberal Studies, mandate, all students, general education, support",2026-05-27
Is YABATECH good for engineering?,"Yes. The School of Engineering is the largest school in YABATECH with 12 departments, over 2,500 students, and lecturers with PhDs and MScs. All engineering programmes are NBTE-accredited.",General,"engineering, good, quality, school, best, 12 departments",2026-05-27
Why should I choose YABATECH?,"YABATECH is Nigeria's first and most established polytechnic, with 9 schools, 23+ departments, 64 accredited programmes, industry linkages, a compulsory entrepreneurship centre, campus radio, 24/7 medical care, and a vibrant campus life in the heart of Lagos — Nigeria's tech hub.",General,"why choose, reasons, best, recommend, YABATECH, advantages",2026-05-27
What is the student file and what does it contain?,"The student file (also called the student registration file or docket) is a physical folder containing key documents required for your registration at YABATECH. It typically includes your JAMB result, O'Level result, birth certificate, acceptance fee receipt, medical screening form, passport photographs, and course registration form. Your department will provide the exact checklist.",Registration,"student file, docket, documents, what is, contains",2026-05-31
What documents are needed for the student file at YABATECH?,"Documents typically required for the YABATECH student file include: JAMB result slip, O'Level result (WAEC/NECO/NABTEB), birth certificate or age declaration, acceptance fee receipt, medical screening clearance, passport photographs, and printed course registration form. Check your department's notice board for the exact list.",Registration,"student file, documents needed, what to include, JAMB, O'Level",2026-05-31
Where do I submit my student file at YABATECH?,Student file submission locations can change each session. Ask your Course Adviser or check your departmental notice board for the current submission point. It is usually at your school's admin office or a designated office announced by your department.,Registration,"submit student file, where, submission, department, location",2026-05-31
What is the deadline for student file submission at YABATECH?,The deadline for student file submission varies each session. ND 1 students should ask their Course Adviser or Head of Department for the current deadline. Information is also posted on departmental notice boards.,Registration,"deadline, student file, submission, ND1, when",2026-05-31
Where do I get my student file stamped at YABATECH?,The stamping office for student files can change location. Always check your departmental notice board or ask your Course Adviser for the current stamping location. Do not rely on last session's location — it may have moved.,Registration,"stamp, student file, where, location, stamping office",2026-05-31
"I misplaced my acceptance fee receipt at YABATECH, what do I do?","If you misplace your acceptance fee receipt, visit the Bursary Department on the main YABATECH campus with your student ID and payment details. The Bursary can verify your payment and issue a reprint or confirmation letter. Do not panic — your payment is in the system.",Registration,"misplace, acceptance fee receipt, lost, Bursary, reprint",2026-05-31
What documents do I need for physical screening at YABATECH?,"For physical/medical screening at YABATECH, you typically need: your admission letter, JAMB result, O'Level result, and passport photographs. The medical screening form is usually provided on the day. Check your department's announcement for the full list.",Registration,"physical screening, documents, medical, what to bring, JAMB",2026-05-31
When is medical screening at YABATECH?,Medical screening dates are announced by each department or the Student Affairs division. Check your departmental notice board or portal.yabatech.edu.ng for the current medical screening schedule for your session.,Registration,"medical screening, when, date, schedule, Student Affairs",2026-05-31
Where is the screening officer at YABATECH?,Each department or school has its own assigned screening officer. Ask your Course Adviser or HOD to identify your screening officer and their location. Screening officer assignments can change each session.,Registration,"screening officer, who is, where, assignment, department",2026-05-31
What passport photographs do I need for YABATECH registration?,"For YABATECH registration, you typically need passport photographs of the student (yourself), not parents. The standard size is white-background passport photographs. Your department will specify the exact number required.",Registration,"passport photographs, how many, student, parent, registration",2026-05-31
What is the docket at YABATECH?,"A docket at YABATECH is the examination permit or clearance slip that confirms you are eligible to write your exams. It is usually printed from the student portal after completing course registration and settling all fees. Without a valid docket, you may not be allowed into the exam hall.",Exams,"docket, what is, exam permit, clearance, exam hall",2026-05-31
If I don't have a docket will I be allowed into the exam hall at YABATECH?,"Without a valid docket (exam permit), you may be denied entry into the exam hall at YABATECH. Ensure all fees are paid and course registration is complete on the portal, then print your docket before the exam period begins.",Exams,"docket, exam hall, without, allowed, entry",2026-05-31
What are the documents needed for clearance at YABATECH?,"Documents needed for clearance at YABATECH typically include: your printed course registration form (stamped), medical screening form, acceptance fee receipt, and any other department-specific documents. Your Course Adviser will provide the full checklist.",Registration,"clearance, documents needed, what to bring, course form, stamped",2026-05-31
What is the clearance process at YABATECH?,"The clearance process at YABATECH involves confirming your registration with your department. Steps typically include: paying all fees, printing and stamping your course form, submitting your student file, completing medical screening, and getting sign-offs from relevant offices. Your department will guide you through the current steps.",Registration,"clearance process, steps, how to, what is, registration",2026-05-31
When is the deadline for clearance at YABATECH?,Clearance deadlines are set each session. Check your departmental notice board or the YABATECH portal at portal.yabatech.edu.ng for the current clearance deadline. Always act early to avoid being unable to sit your exams.,Registration,"clearance, deadline, when, date, session",2026-05-31
Why can't I see my results on the YABATECH portal?,"Results on the YABATECH portal at portal.yabatech.edu.ng may take several weeks after exams before they are uploaded. If results are delayed beyond the normal period, contact your department or the Examinations Unit. Ensure you are logging in with the correct student ID and password.",Exams,"results, portal, not showing, why, upload delay",2026-05-31
How do I navigate the YABATECH portal?,"To navigate the YABATECH student portal at portal.yabatech.edu.ng: log in with your student ID and password, and use the menu to access course registration, fee payment, results, and student services. If you have difficulty, visit the CITM (Centre for Information Technology and Management) on campus for a guided walkthrough.",Registration,"navigate, portal, how to use, CITM, guide",2026-05-31
How do I get a payment advice slip on the YABATECH portal?,"To get a payment advice slip on the YABATECH portal: log in at portal.yabatech.edu.ng, go to the Payments or Bursary section, and generate your payment invoice. This invoice (advice slip) is what you use to pay at the bank or via Remita.",Fees,"payment advice slip, portal, generate, invoice, how to",2026-05-31
"The YABATECH portal is not working, what do I do?","If the YABATECH portal is down or unresponsive, try again later as it may be undergoing maintenance. For persistent issues, visit the CITM unit on campus, call +234-7037431055, or email registrar@yabatech.edu.ng. Avoid making payments until the portal is confirmed working.",Registration,"portal not working, down, error, CITM, problem",2026-05-31
How do I check if the YABATECH portal is active for results?,"Log in to the student portal at portal.yabatech.edu.ng and navigate to the Results section. If results are not available, they have not been uploaded yet. Check back periodically or ask your department for the expected release date.",Exams,"portal, active, results, check, how to",2026-05-31
How do I log in to the YABATECH student portal?,"To log in to the YABATECH student portal, go to portal.yabatech.edu.ng/portalplus/?pg=login. Enter your student ID (matric number) and password. If you have forgotten your password, click 'Forgot Password' or visit CITM on campus.",Registration,"log in, student portal, how to, matric number, password",2026-05-31
When is the exam starting at YABATECH?,Exam start dates are announced on the YABATECH portal and departmental notice boards. Check portal.yabatech.edu.ng or ask your department for the current exam timetable. Dates vary each semester.,Exams,"exam starting, when, date, timetable, semester",2026-05-31
Is the exam timetable correct at YABATECH?,"The official exam timetable is published on the YABATECH portal and notice boards. Always verify from the official portal or your HOD, not from secondhand sources. If you notice a conflict in the timetable, report it to your department immediately.",Exams,"timetable, correct, verify, official, conflict",2026-05-31
What am I supposed to print for YABATECH exams?,"For YABATECH exams, you typically need to print: your exam docket (from the portal), and sometimes your course registration form. Check with your department or Course Adviser for the exact documents required for your current exams.",Exams,"print, exam, what to, docket, course form",2026-05-31
How are YABATECH exam questions set?,"YABATECH exam questions are set by the course lecturers and moderated by both internal and external examiners to maintain academic standards. The format varies by course — some are essay-based, some objective (MCQ), and some are practical assessments.",Exams,"how, exam questions, set, format, lecturers, moderated",2026-05-31
Are all Computer Science exams CBT at YABATECH?,"Not all Computer Science exams are CBT (Computer-Based Test). The format depends on the course and the lecturer. Some courses use written exams, others use CBT. Your department or course lecturer will inform you of the format for each course.",Exams,"CBT, Computer Science, exam format, written, all exams",2026-05-31
What is an AOC at YABATECH?,AOC (Areas of Concentration) are the specific topics or chapters that lecturers indicate students should focus on when preparing for exams. AOCs are usually announced by the course lecturer in class or via your class group. Not all lecturers provide AOCs.,Exams,"AOC, areas of concentration, what is, exam prep, topics",2026-05-31
Where is my exam centre at YABATECH?,"Your exam centre is printed on your docket, which you can download from the YABATECH student portal at portal.yabatech.edu.ng. If the building code is unfamiliar (e.g. C5), ask a second-year student or security on the day of the exam.",Exams,"exam centre, where, location, docket, building code",2026-05-31
Can I pay part of my school fees and still sit for exams at YABATECH?,No. YABATECH generally requires full payment of school fees before you are cleared to sit for examinations. Partial payment may result in your docket not being generated. Contact the Bursary if you are experiencing financial difficulty.,Fees,"part payment, fees, sit exam, partial, Bursary",2026-05-31
When will my YABATECH exam results be out?,YABATECH exam results are typically released a few weeks after the examination period ends. The exact date varies per semester. Check the student portal at portal.yabatech.edu.ng regularly or ask your department for the expected release date.,Exams,"results, when, out, released, semester, portal",2026-05-31
How is the YABATECH exam for first year students?,"As a first-year (ND1) student, YABATECH exams are a mix of objective (MCQ) and essay questions depending on the course. Attend all lectures, meet the 75% attendance requirement, pay your fees, and print your docket before exams. Ask second-year students in your department for past questions.",Exams,"first year, ND1, how, exam, first timer, prepare",2026-05-31
Has the YABATECH academic calendar been updated?,"The YABATECH academic calendar is published at yabatech.edu.ng/cal.php. Check this page for the most current dates. If the calendar seems out of sync, it may be due to adjustments from the previous session — check the portal for official announcements.",General,"academic calendar, updated, when, cal.php, schedule",2026-05-31
What are the past questions for YABATECH exams?,"Past questions for YABATECH courses are not officially published on the portal. Ask senior students in your department, check YABATECH student groups on WhatsApp or Telegram, or visit the library which may have past exam papers in some departments.",Exams,"past questions, where to get, library, senior students, CBT",2026-05-31
Where is the Science Complex at YABATECH?,The Science Complex is located on the main YABATECH campus in Yaba. It houses the School of Science departments. Ask security at the main gate for directions when you arrive — they are familiar with all building locations.,Facilities,"Science Complex, location, where, building, directions",2026-05-31
Where is the hardware lab at YABATECH?,The hardware lab for Computer Science/Engineering is located in the Science Complex on the main YABATECH campus. Ask your course lecturer or a senior student in your department for the exact room number.,Facilities,"hardware lab, location, Computer Science, Science Complex, where",2026-05-31
Where is the Horology building at YABATECH?,"The Horology building is located on the main YABATECH campus. Ask at the security gate or any staff member for directions. Buildings on campus include the Horology, Okufe, Mechanical, and Science Complex buildings.",Facilities,"Horology building, location, where, campus, directions",2026-05-31
Where is Room 1 at YABATECH?,Room numbering at YABATECH varies by building. 'Room 1' typically refers to the first lecture room in a specific block. Ask your Course Adviser or a senior student in your department to show you your allocated lecture rooms at the start of each semester.,Facilities,"Room 1, location, lecture room, where, building",2026-05-31
Where is the CITM building at YABATECH?,The CITM (Centre for Information Technology and Management) is located on the main YABATECH campus in Yaba. Ask security at the main gate for directions to the CITM building.,Facilities,"CITM, building, location, where, ICT, directions",2026-05-31
Where is my course adviser's office at YABATECH?,Your Course Adviser's office is within your school or department building. Ask at your department's secretariat or check the departmental notice board for your Course Adviser's name and office location. Different classes may have different Course Advisers.,Facilities,"course adviser, office, location, where, department",2026-05-31
Where is the HOD office at YABATECH?,Each department's HOD (Head of Department) office is in the department's main building. Visit your school building and ask the departmental secretary for the HOD's office location.,Facilities,"HOD office, location, where, Head of Department, department",2026-05-31
How do I find my department at YABATECH?,"When you first arrive, tell security at the main gate your department name. They will direct you. Alternatively, ask any staff or senior student on campus. Each school has its own building — e.g., School of Technology, School of Engineering, School of Science, etc.",Facilities,"find department, where, how to, new student, location",2026-05-31
What are the names of all buildings at YABATECH?,"Key buildings on the YABATECH main campus include: Science Complex, Engineering Complex, Management Building, Environmental Studies Building, Art Design and Printing Studio, CITM Block, Horology Building, Okufe Building, Student Union Building, Library, Medical Centre, and the Sports Complex. Ask security for specific directions.",Facilities,"buildings, names, all, campus, list",2026-05-31
Where is the clearance officer's office at YABATECH?,The clearance officer's office location varies by school. Ask your Course Adviser or check the departmental notice board for your school's designated clearance officer and their office location each session.,Registration,"clearance officer, office, where, location, department",2026-05-31
Where do I do registration at YABATECH?,Course registration is done online at portal.yabatech.edu.ng. Physical document submission for registration is done at your department or school office. Ask your Course Adviser for the exact physical location for your session.,Registration,"registration, where, location, online, portal, department",2026-05-31
How do I process my student ID card at YABATECH?,"To get your student ID card at YABATECH: complete your registration and pay all fees, then visit the CITM (Centre for Information Technology and Management) on campus with your passport photographs and registration confirmation. ID cards are processed after registration is complete.",Registration,"ID card, process, how to, CITM, get, student",2026-05-31
When will I get my ID card at YABATECH?,Student ID cards are processed after full registration is completed. Processing time varies each session. Visit CITM on campus for updates on when your ID card will be ready.,Registration,"ID card, when, get, CITM, processing time",2026-05-31
